nba_id,positions
203517,"['PG', 'SG']"
203467,"['SF', 'PG']"
2046,['UN']
2735,['UN']
203136,['C']
1626169,"['PF', 'SF']"
203544,"['SF', 'C']"
202079,['UN']
201182,"['SF', 'PG']"
203459,"['PG', 'SG']"
2060,"['PG', 'SG']"
202704,"['PG', 'SG']"
202395,['UN']
200767,"['SF', 'C']"
200776,"['PG', 'SG']"
204079,['UN']
2400,"['PF', 'SF']"
202197,['UN']
203935,"['PG', 'SG']"
202809,['UN']
203186,"['SF', 'C']"
200762,"['SF', 'C']"
1626175,"['PF', 'SF']"
201595,"['C', 'PF']"
1730,['UN']
200770,"['PG', 'SG']"
203954,['C']
436,"['PF', 'SF']"
202962,['C']
1626178,"['SF', 'PG']"
101198,"['PG', 'SG']"
202335,"['PF', 'SF']"
203477,"['PG', 'SG']"
87,['C']
201158,"['SF', 'PG']"
202347,"['PF', 'SG']"
2443,"['PF', 'SF']"
201998,"['PG', 'SG']"
200764,['UN']
200761,"['PF', 'SF']"
201960,"['PF', 'SF']"
2399,"['SF', 'PG']"
201172,"['PG', 'SG']"
2041,['C']
202132,"['PG', 'SG']"
2045,"['PF', 'SF']"
202685,['C']
1627293,['UN']
203937,"['PF', 'SF']"
2306,"['PG', 'SG']"
200755,"['PG', 'SG']"
1740,"['PF', 'SF']"
204038,"['PG', 'SG']"
1626148,"['PF', 'SF']"
2566,"['PF', 'SF']"
203521,"['PG', 'SG']"
203546,"['PG', 'SG']"
2557,"['PG', 'SG']"
1800,"['PG', 'SG']"
2556,"['PG', 'SG']"
203106,"['PF', 'SF']"
2551,['UN']
1515,"['PG', 'SG']"
200756,"['SF', 'C']"
202371,"['PF', 'SF']"
203552,"['PG', 'SG']"
202376,"['PF', 'SF']"
2409,['UN']
201933,"['PF', 'SF']"
201821,['UN']
201969,"['PF', 'SF']"
201148,"['PF', 'SF']"
203948,"['SF', 'C']"
202711,"['SF', 'PG']"
203492,['UN']
200779,"['PF', 'SF']"
201988,"['PG', 'SG']"
202622,"['PG', 'SG']"
101204,"['SF', 'C']"
201600,['C']
201146,"['PF', 'SF']"
200758,"['PF', 'SF']"
201623,['C']
2039,"['PG', 'SG']"
201189,['C']
1626143,['C']
203156,"['C', 'PF']"
951,"['PG', 'SG']"
202227,"['PG', 'SG']"
686,"['SF', 'C']"
201235,['UN']
202684,"['C', 'PF']"
2072,"['PG', 'SG']"
201986,"['PG', 'SG']"
101142,['UN']
2201,['UN']
1626273,"['PG', 'SG']"
202354,['UN']
101136,"['PG', 'SG']"
203139,['UN']
202458,['UN']
201563,"['PF', 'SF']"
200839,['UN']
201964,['UN']
201578,"['SF', 'C']"
2240,"['PG', 'SG']"
2203,"['PF', 'SF']"
201157,"['SF', 'C']"
201978,"['PF', 'SF']"
202346,['UN']
203144,"['PG', 'SG']"
200751,"['PG', 'SG']"
1626191,"['PF', 'SF']"
101215,['UN']
202350,['UN']
2749,"['PG', 'SG']"
101150,"['PG', 'SG']"
201569,"['PG', 'SG']"
1502,['C']
202358,"['PG', 'SG']"
203203,['UN']
101133,['C']
203991,"['SF', 'C']"
203933,"['PF', 'SF']"
201585,['C']
1725,['C']
201980,"['SF', 'PG']"
202329,"['PF', 'SF']"
203932,"['PF', 'SF']"
203128,"['SF', 'C']"
201943,"['PG', 'SG']"
201203,['UN']
201566,"['PG', 'SG']"
101189,"['PF', 'SF']"
283,['UN']
1717,"['PF', 'SF']"
202221,['C']
201942,"['PG', 'SG']"
201175,"['SF', 'C']"
101114,"['PG', 'SG']"
202725,"['SF', 'C']"
1495,"['C', 'PF']"
201961,"['PG', 'SG']"
1802,"['C', 'PF']"
203486,"['C', 'PF']"
2440,"['PF', 'SF']"
2248,"['PG', 'SG']"
203894,"['PG', 'SG']"
203120,['C']
201975,"['PG', 'SG']"
202951,['UN']
201612,"['PG', 'SG']"
203501,"['PG', 'SG']"
202701,"['PG', 'SG']"
203934,"['SF', 'PG']"
202970,"['SF', 'C']"
202361,"['SF', 'PG']"
203077,"['PF', 'SF']"
203116,['UN']
203135,['C']
200777,"['C', 'PF']"
201952,"['PG', 'SG']"
202697,"['PG', 'SG']"
203094,"['PF', 'SF']"
202333,['UN']
203084,"['PF', 'SF']"
1626154,"['PG', 'SG']"
201583,"['PF', 'SF']"
201041,"['PG', 'SG']"
201228,"['PG', 'SG']"
203471,"['PG', 'SG']"
202727,"['PG', 'SG']"
200796,"['PF', 'SF']"
201858,"['PF', 'SF']"
2052,"['PF', 'SG']"
101123,"['PF', 'SF']"
101211,"['SF', 'PG']"
203545,['UN']
202148,['C']
202378,"['PG', 'SG']"
201586,"['PF', 'SF']"
203930,"['PG', 'SG']"
2212,['C']
2137,['UN']
1747,"['PG', 'SG']"
200971,"['PG', 'SG']"
203998,"['PF', 'SF']"
202620,"['SF', 'C']"
202082,['UN']
2124,"['PF', 'SF']"
101126,['UN']
101127,"['PG', 'SG']"
203915,"['PG', 'SG']"
202386,"['PG', 'SG']"
202323,"['SF', 'PG']"
201972,"['PF', 'SF']"
2230,"['SF', 'PG']"
101183,['UN']
201802,"['PG', 'SG']"
201171,"['PF', 'SF']"
1088,"['PG', 'SG']"
1626262,['UN']
203506,"['PG', 'SG']"
200798,['UN']
201574,"['SF', 'C']"
203503,"['PF', 'SF']"
203079,"['PG', 'SG']"
2740,['UN']
202691,"['PG', 'SG']"
1626166,"['PG', 'SG']"
1889,"['PG', 'SG']"
1626242,"['PG', 'SG']"
2767,['UN']
202709,"['PG', 'SG']"
201957,['C']
203317,"['C', 'PF']"
2765,['UN']
203145,"['PF', 'SG']"
1630,"['SF', 'C']"
203121,['UN']
202357,"['PF', 'SF']"
2419,"['PF', 'SF']"
201971,['UN']
203513,"['PF', 'SF']"
1626157,"['C', 'PF']"
203082,"['PF', 'SG']"
203463,"['PG', 'SG']"
2575,"['PF', 'SF']"
203961,"['SF', 'C']"
203097,['C']
201229,"['PF', 'SF']"
1477,"['PF', 'SF']"
101128,['UN']
201193,['UN']
203083,['C']
2239,"['PF', 'SG']"
200745,['UN']
202341,"['SF', 'PG']"
203484,"['PG', 'SG']"
201167,"['PG', 'SG']"
1853,['UN']
101154,"['C', 'PF']"
203469,"['C', 'PF']"
203115,"['PF', 'SG']"
2810,['UN']
2431,['C']
202330,"['PF', 'SF']"
201628,"['PG', 'SG']"
202068,['UN']
201565,"['PG', 'SG']"
1626167,"['SF', 'C']"
2217,['C']
203910,"['PG', 'SG']"
1536,['UN']
201974,"['PF', 'SF']"
203158,"['PF', 'SF']"
1894,"['PF', 'SF']"
203090,"['PF', 'SF']"
1533,"['PG', 'SG']"
2063,['C']
2246,['UN']
202406,"['PG', 'SG']"
203918,"['PG', 'SG']"
202695,"['PF', 'SF']"
203901,"['PG', 'SG']"
202705,"['PG', 'SG']"
201576,"['PF', 'SF']"
2030,['UN']
2744,['C']
200749,"['C', 'PF']"
2574,['UN']
202360,"['PG', 'SG']"
203565,['UN']
203499,"['PG', 'SG']"
2429,['C']
203490,"['PF', 'SF']"
203569,"['PG', 'SG']"
202692,"['PG', 'SG']"
2294,"['PG', 'SG']"
1766,"['PF', 'SF']"
203960,"['SF', 'PG']"
203457,"['SF', 'C']"
202081,['C']
2059,"['PF', 'SF']"
1626246,['C']
203147,['UN']
202690,['UN']
2738,"['SF', 'PG']"
2768,"['PG', 'SG']"
201987,"['SF', 'PG']"
2824,['UN']
203914,"['PG', 'SG']"
203893,['UN']
101122,"['PF', 'SG']"
202862,['UN']
1882,"['PF', 'SF']"
203491,"['PG', 'SG']"
201967,"['PF', 'SF']"
201880,['C']
101131,"['PF', 'SF']"
203119,"['PG', 'SG']"
2209,"['PF', 'SF']"
200814,"['PG', 'SG']"
101165,"['PG', 'SG']"
202342,"['PF', 'SF']"
1626209,"['SF', 'PG']"
201162,"['PF', 'SF']"
202070,"['PF', 'SF']"
200783,"['PF', 'SF']"
203089,"['PF', 'SF']"
201153,"['PF', 'SF']"
200772,['UN']
1761,"['PG', 'SG']"
699,"['PG', 'SG']"
201234,['UN']
201336,"['PG', 'SG']"
203460,"['PG', 'SG']"
203511,"['PF', 'SF']"
201207,"['PG', 'SG']"
203382,"['C', 'PF']"
101194,"['PG', 'SG']"
1626266,['UN']
202693,"['PF', 'SF']"
203458,['C']
204022,"['PF', 'SF']"
200797,['UN']
201592,"['PG', 'SG']"
2730,['C']
201814,"['PF', 'SF']"
202880,['UN']
202374,['C']
203539,['UN']
201176,"['PF', 'SF']"
202328,"['C', 'PF']"
1626144,"['PG', 'SG']"
203159,"['PG', 'SG']"
2679,['UN']
204001,"['SF', 'C']"
2547,"['PF', 'SF']"
202694,"['PF', 'SF']"
2545,['UN']
2365,"['SF', 'C']"
203956,"['PF', 'SF']"
