nba_id,stattleship_slug
203530,nba-joffrey-lauvergne
201586,nba-serge-ibaka
203930,nba-sean-kilpatrick
2199,nba-tyson-chandler
201573,nba-jerryd-bayless
203998,nba-bruno-caboclo
202620,nba-arinze-onuaku
203527,nba-ryan-kelly
200761,nba-shawne-williams
101127,nba-jarrett-jack
203915,nba-spencer-dinwiddie
201171,nba-carl-landry
202323,nba-evan-turner
203097,nba-fab-melo
1626262,nba-coty-clarke
203910,nba-nick-johnson
201574,nba-jason-thompson
203503,nba-tony-snell
203079,nba-dion-waiters
2740,nba-andris-biedrins
202691,nba-klay-thompson
1889,nba-andre-miller
2767,nba-royal-ivey
202709,nba-cory-joseph
2586,nba-keith-bogans
203317,nba-tim-ohlbrecht
203145,nba-kent-bazemore
203121,nba-darius-miller
202357,nba-nemanja-bjelica
2419,nba-tayshaun-prince
201971,nba-dejuan-blair
203513,nba-erik-murphy
203082,nba-terrence-ross
2575,nba-luke-walton
203961,nba-eric-moreland
201945,nba-gerald-henderson
101128,nba-francisco-garcia
203083,nba-andre-drummond
201587,nba-nicolas-batum
200745,nba-andrea-bargnani
202341,nba-james-anderson
203484,nba-kentavious-caldwell-pope
201167,nba-arron-afflalo
101154,nba-andray-blatche
203469,nba-cody-zeller
202694,nba-marcus-morris
201565,nba-derrick-rose
1626167,nba-myles-turner
2217,nba-brendan-haywood
1536,nba-stephen-jackson
203158,nba-kevin-jones
1894,nba-corey-maggette
203090,nba-maurice-harkless
703,nba-kurt-thomas
200778,nba-james-white
202695,nba-kawhi-leonard
202705,nba-marshon-brooks
201576,nba-anthony-randolph
2030,nba-kenyon-martin
2744,nba-al-jefferson
101112,nba-channing-frye
203565,nba-patrick-christopher
203499,nba-shane-larkin
2732,nba-ben-gordon
203490,nba-otto-porter
203569,nba-chris-babb
202692,nba-alec-burks
203148,nba-brian-roberts
203457,nba-nerlens-noel
101155,nba-ryan-gomes
1626246,nba-boban-marjanovic
203147,nba-chris-smith
2738,nba-andre-iguodala
2768,nba-chris-duhon
1626169,nba-stanley-johnson
202087,nba-alonzo-gee
203962,nba-josh-huestis
1882,nba-elton-brand
203095,nba-evan-fournier
203119,nba-kim-english
2209,nba-vladimir-radmanovic
1626209,nba-mario-hezonja
201162,nba-jared-dudley
203089,nba-john-henson
202686,nba-jan-vesely
203203,chris-wright
203460,nba-andre-roberson
203511,nba-grant-jerrett
201973,nba-jonas-jerebko
201160,nba-jason-smith
1626151,nba-aaron-harrison
1626266,nba-j-j-o-brien
202693,nba-markieff-morris
203458,nba-alex-len
204022,nba-jack-cooley
200797,nba-ryan-hollins
2730,nba-dwight-howard
1718,nba-paul-pierce
203521,nba-matthew-dellavedova
203539,nba-gal-mekel
201988,nba-patrick-mills
202328,nba-greg-monroe
1626144,nba-emmanuel-mudiay
203159,nba-scott-machado
2679,nba-matt-carroll
204001,nba-kristaps-porzingis
202718,nba-chandler-parsons
2545,nba-darko-milicic
2365,nba-chris-andersen
203956,nba-mitch-mcgary
2038,nba-joel-przybilla
201619,nba-sasha-kaun
200826,nba-jose-juan-barea
201935,nba-james-harden
101123,nba-gerald-green
202703,nba-nikola-mirotic
201604,nba-chris-douglas-roberts
101126,nba-nate-robinson
202348,nba-jordan-crawford
203506,nba-victor-oladipo
203999,nba-nikola-jokic
1626153,nba-delon-wright
201571,nba-d-j-augustin
202365,nba-devin-ebanks
203648,nba-thanasis-antetokounmpo
204067,nba-jarell-eddie
101106,nba-andrew-bogut
202324,nba-derrick-favors
2570,nba-kendrick-perkins
201970,nba-sam-young
201950,nba-jrue-holiday
203093,nba-terrence-jones
201632,nba-hamed-haddadi
1626214,nba-bryce-dejean-jones
202391,nba-jeremy-lin
101115,nba-andrew-bynum
203914,nba-gary-harris
201582,nba-alexis-ajinca
1626173,nba-rashad-vaughn
201144,nba-mike-conley
1905,nba-andrei-kirilenko
2047,nba-quentin-richardson
202331,nba-paul-george
200811,nba-lou-amundson
2216,nba-zach-randolph
1626174,nba-christian-wood
101131,nba-jason-maxiell
203933,nba-t-j-warren
203922,nba-glenn-robinson-iii
203798,nba-p-j-hairston
2403,nba-nene
101236,nba-chuck-hayes
203912,nba-c-j-wilcox
203468,nba-c-j-mccollum
200782,nba-p-j-tucker
203909,nba-k-j-mcdaniels
101139,nba-c-j-miles
201581,nba-j-j-hickson
203948,nba-johnny-o-bryant-iii
201228,nba-c-j-watson
101150,nba-louis-williams
200755,nba-j-j-redick
1626154,nba-r-j-hunter
203960,nba-jakarr-sampson
1626202,nba-joseph-young
204456,nba-t-j-mcconnell
201591,nba-d-j-white
203315,nba-toure-murry
203548,nba-elias-harris
200839,nba-mike-harris
2562,nba-aleksandar-pavlovic
204021,nba-sim-bhullar
204033,nba-david-wear
203474,nba-d-j-stephens
203816,nba-scotty-hopson
203540,nba-luigi-datome
204037,nba-travis-wear
203580,nba-larry-drew-ii
203945,nba-alex-kirk
204079,nba-drew-gordon
202197,nba-shane-edwards
201595,nba-joey-dorsey
203106,nba-jeffery-taylor
201986,nba-nando-de-colo
203139,nba-vyacheslav-kravtsov
2052,nba-deshawn-stevenson
